Pathway	pVal	zScore	Genes	type
TAB1 Signaling	1.3429441471429	0.283	CCND1,CDKN1A,JUN,MCL1	Upstream
HES1 Signaling	2.03105031901866	0.28	ASCL1,CDKN1A,HES1,KDM6B,NKX2-2,OAT,TUBB3	Upstream
MTOR Signaling	6.99139982823808	0.278	ARL4C,ATP2A2,ATP2B1,ATP5MG,CCND1,CDKN1A,CNP,COX4I1,DDAH2,ELOB,FOS,GLUD1,HADHB,HSP90B1,IGF2,IRF1,IRS2,KCND2,MAP2,MBP,MCL1,PGRMC1,PKM,PLP1,PPIB,RBM5,RPL12,RPL23,RPL32,RPS11,RPS18,RPS6,SGCB,SOX4,ST6GAL1,STAT3,TXNIP	Upstream
Transcriptional Regulatory Network in Embryonic Stem Cells	1.79	0.277350098112615	AKT2,AKT3,FGFR1,FZD3,IGF2,IL6ST,PIK3R1,PIK3R3,SET,SKIL,SMAD3,SOX2,STAT3	Canonical
HOTAIR Regulatory Pathway	2.18	0.277350098112615	AKT2,AKT3,CDKN1A,H3-3A/H3-3B,HDAC2,IRF1,KDM1A,MMP16,PCDH10,PIK3R1,PIK3R3,RBBP7,RHOC,STAT3	Canonical
tetraethylammonium Signaling	1.77989191195995	0.277	ARHGDIA,HSPA9,PAFAH1B3,PDIA3,RPLP0	Upstream
PAF1 Signaling	1.40560744962457	0.277	ARL4A,BAMBI,SERTAD1,SOX9,TAC3	Upstream
Urogenital cancer	29.129596094721	0.276	SCN3A,NTSR1,ERBB4,RPS24,ANXA6,SMARCA4,HNRNPL,RPS5,ENC1,PAK3,ARGLU1,ADI1,DDX39A,LUZP2,ST8SIA2,TXNIP,DIO3,RSRC2,FNBP1L,EPC1,GPM6B,PABPC1,SLC1A2,NOVA1,CD70,ENAH,SMAP2,CEP170,CALR,FOXG1,DPP7,SLF2,MAP3K1,SFPQ,OPCML,BAX,CD24,ERBB3,C3orf70,UQCRB,TAF1D,CCN1,ARFGAP2,INSM1,SULF2,DNAJC1,TSPAN7,PEA15,COL9A3,GPSM2,RPL22L1,SPECC1,RPS3A,CELF4,PCDH17,RNF157,C7orf50,TMEM100,OLFM1,CDH13,PLEKHB1,RDH11,NASP,TXN,SRSF5,SET,PLAT,EGR1,CACNA1A,NRXN1,KLF3,RAB3A,HSPA9,SAPCD2,SHTN1,CELF2,ACSL3,TUBB2B,PTPRE,C12orf57,SAMD4A,SLC35F1,SPRED1,CERS4,STAT3,CPM,NSG1,EEA1,SYT11,SPATA6,SRSF10,DOCK9,ASTN1,SEMA5A,RPL39,RPS7,SLC44A1,PPP1R9A,EIF4G2,KIF13A,DNAJC3,RPLP0,NKAIN3,ITM2C,COL11A1,CCND1,UBB,NENF,TMEM59L,RPS15,NAV1,CSNK1A1,UBA52,MT2A,ARMCX6,RAB14,RARRES2,CSMD3,PLPPR1,PTN,GRIA3,C1QL1,IGFBPL1,COL20A1,RBM5,MAFG,PNPLA8,USP24,TANC1,PLLP,DDX17,HMGA1,AMD1,BAMBI,CBX1,RBM3,OPHN1,PTCHD4,ADGRL3,ARL4C,PTPRD,SOX11,NAMPT,SEZ6L2,TMSB10/TMSB4X,NARF,DCLK1,ETV1,PKM,NCAM2,CRNDE,IFNAR1,STARD7,PCF11,JUND,GLTP,ST6GAL1,PID1,RPL29,LAGE3,ACAP3,SGCB,PEG10,CPXM1,PGM1,RSRP1,ADGRB3,OLIG2,APOD,SOX5,NAV2,CORO1C,GAS5,FABP7,TIMP2,VWA1,KANK1,PRRX1,OAT,BRD7,CHL1,ETV5,ARPP21,VCAN,CTSC,RPS27A,TNK2,RBX1,NDRG2,PLS3,HNRNPU,FNDC4,RBMX,CD82,INA,MYADM,SDF4,SNHG8,CDH10,MEX3A,IL1RAP,MIR124-1HG,BMP7,UGDH,NRXN2,HDAC2,SRRM2,RPN2,UCHL1,BRD3,IGFBP2,BCHE,AFAP1L2,CHST11,CLK1,PDZD2,LTBP3,KDM1A,ZCCHC24,HEPACAM,TSC22D1,MDGA2,SH3GLB1,CCDC47,RPS4X,OLA1,LAPTM4A,NACA,PSAT1,SCAF11,ASIC1,CASK,ITGAV,AASS,CLSTN1,CHADL,PCDH9,BASP1,STC1,ELAVL4,DUSP26,TEK,XKR4,ASCL1,SMAD3,ANP32B,ZFP36L1,RGCC,KCNIP1,FOSB,AGAP1,RND3,BRD2,SRSF6,PIK3R3,CALB2,GFRA1,RPL35,RBP1,CPEB4,RPL22,ZEB1,APP,FAM107B,EMC10,TUBB4B,MAGEH1,MAFF,KHDRBS1,STMN2,MAGI1,LNX1,EIF3F,ARL4A,ABHD2,MMP16,KRTCAP2,MYO3A,IER2,AFDN,HNRNPF,FHL1,SCRG1,AP1S2,PIK3R1,C1orf21,TMEM123,XYLT1,SCD5,KLRC2,BCAN,MPC1,NLGN3,PGM3,TRAF4,JMJD1C,JAG1,ETFB,SRSF2,RRBP1,ACAA1,SERPINB6,AKT2,SON,SPARC,CCNH,NPAS3,PLP1,TIMP3,RPL36A,MCAM,VAPA,TIMP1,KCNJ10,HERPUD1,TSC22D4,LRRN1,IRF1,DLX5,SATB1,MAP4K5,HSPA13,ADGRA1,SP8,SCGN,MAT2A,FOS,TUBA1A,LUC7L3,EIF3E,FKBP2,LRP1,PCSK7,WDR1,RPL14,HNRNPDL,FERMT2,CLCN3,KCNMA1,MYO10,ZBED1,RPS18,PCDH7,CDKN2C,HSP90B1,ITGB8,KLHDC8A,DPYSL2,TAOK3,MIAT,CSPG5,SPOCK2,FAM110B,CD47,APPL1,HNRNPA1,COL16A1,CLU,BCLAF1,ZFAS1,SSPN,BCL11A,VSTM2B,SRSF3,EPN2,NLGN4X,LGALS1,EPHA3,ASRGL1,GPR155,RBBP7,RHOC,THY1,CRABP1,POLR1D,BCAS1,CLIC1,CXXC4,LRATD1,CMC2,RBM25,RPL5,ID4,ARHGDIA,NTRK3,CDK6,SLC6A1,GRM5,TOX3,ZNF649,SRSF1,PLOD2,MFF,BCL11B,FBXO7,PTMS,PPP2R2A,FARP2,IGF2,PHLDA1,TSPAN3,GSE1,RCOR2,OS9,PRPF4B,SEPTIN9,PFN2,DNM3,PSD3,FGFR1,SEL1L3,DMPK,NRCAM,ATF7IP,ING3,BEX4,TUBB3,ZNF397,SPRY2,EEF1A2,RBFOX2,PRKACB,LRP1B,CRISPLD1,DTNA,ASIC4,CLVS2,CXCL16,ACTN4,CTSD,APMAP,SOX2,MTDH,B3GAT2,RASSF2,CCNI,FGF12,TET1,COX4I1,PDGFRA,RPL11,PCDH19,MLLT11,COL9A1,PLPPR5,PRKX,BLM,AKAP7,RBM39,RPL7,PRNP,RHOB,SOX9,PPP1R15A,CSPG4,PDIA3,DUSP6,SREK1,TCEAL2,DPP10,NEDD4L,MGLL,GRB14,ASAP1,SEMA3E,GPM6A,TMEM87A,SF1,TIMP4,ZC3H6,H2AX,ZFP36L2,KCNQ2,BEX2,SNX1,KRT10,ARF5,RTRAF,GOLM1,RPL31,PAFAH1B3,OLFM2,DLX1,DENND5A,RIN2,ITM2A,DYNC1I2,IRS2,TUBB,NKAIN4,ANXA5,SAT1,RAMP2,DLX6-AS1,SPPL2A,CPE,SYMPK,ANKS1B,DSEL,PDIA6,KIF21A,CCNG1,PNN,CNP,CFAP20,NFIC,RPS19,PSMA7,PRPF38B,RBIS,NUCB1,KCND2,BRINP3,KLC1,RPS11,FERMT1,PHACTR3,VMP1,GRIA4,LRPAP1,OMG,WSCD1,RPL19,SKIL,NTM,SUSD5,LRRC4C,MYT1,TMEM256,PDLIM5,AHI1,H3-3A/H3-3B,NFIA,CLDND1,ADD3,GAL3ST1,GRID2,EIF3H,GALNT10,GPC2,PLEKHH2,EVL,IDH2,AIG1,JUNB,CACNG4,JUN,ST3GAL6,GOLGA8A/GOLGA8B,ABHD14A,RAB33A,CALM1 (includes others),MCL1,STMN4,SERPINE2,CRMP1,GATM,PDE4B,NTNG1,CKB,RPS20,SLC3A2,RPL6,TUBB2A,COX7A2,PCDH10,DSCAM,CNRIP1,CALCRL,LIMA1,BTG3,SLC1A3,FZD3,TRIB2,NTRK2,RPL4,ELMO1,MLF2,LAMA4,NT5E,COBL,MAP4K4,MBP,RACK1,KLF6,ANKRD36C,ROBO1,CHRM3,KAZN,B2M,RALYL,RPS2,CREBRF,TM4SF1,HADHB,P2RX7,WSB1,CHID1,PXDC1,CNTN1,ADGRB1,NNAT,SLITRK2,HES4,NEFM,PDZRN3,FNIP1,LYPD1,RAMP1,HNRNPA2B1,ATP6AP2,TRA2A,KAT2B,PLD3,CHD1,HTRA1,DNER,IGSF21,TAC3,MAP2,TNR,GLUD1,MTSS1,FAU,MAP1B,GDAP1L1,PCDH15,TRIM9,ATP6V0E1,ASXL1,CCNL1,PTPRZ1,RPS6,GUCY1A2,RAB31,CDC42SE1,DBN1,RAP1GAP,ASB3/GPR75-ASB3,S100B,CTTNBP2,ANK3,GPAA1,APBB2,TTC3,CREB5,SCN1A,ANKRD28,NR3C1,MPZL1,TTC9B,GNG12,STK32B,LRRK2,SOX4,P4HB,KDM5B,LINGO1,SLC32A1,AFF4,PHGDH,YWHAQ,AKT3,TJP1,LRRTM3,SELENOK,TMEM132B,ZFYVE16,SNRNP70,NLGN1,DLGAP4,PHF6,GNG3,CARHSP1,COX6B1,XRCC5,GRIA2,TRIO,PDE6D,CDKN1A,ARL6IP1,PSAP,CANX,UGT8,CC2D1A,CCDC112,BSCL2,MIF,PNKD,GPR17,NONO,FSCN1,DEGS1,NPDC1,SCG3,KPNA2,JPT1,RPL21,HIP1R,FDFT1,ATP2B1,EEF1B2,ARX,STMN1,RPS3,FAM89B,CSDE1,CCDC50,CCT8,ATF4,PBX1,EGR3,DLX6,COPA,HSPA5,ATP5MG,SYNE1,SLC2A13,SCN2A,GAD2,EGR2,DAB2,TRA2B,KDM6B,NFE2L2	Functional
Malignant genitourinary solid tumor	28.602059991328	0.276	SCN3A,NTSR1,ERBB4,RPS24,ANXA6,SMARCA4,HNRNPL,RPS5,ENC1,PAK3,ARGLU1,ADI1,DDX39A,LUZP2,ST8SIA2,TXNIP,DIO3,RSRC2,FNBP1L,EPC1,GPM6B,PABPC1,SLC1A2,NOVA1,CD70,ENAH,SMAP2,CEP170,CALR,FOXG1,DPP7,SLF2,MAP3K1,SFPQ,OPCML,BAX,CD24,ERBB3,C3orf70,UQCRB,TAF1D,CCN1,ARFGAP2,INSM1,SULF2,DNAJC1,TSPAN7,PEA15,COL9A3,GPSM2,RPL22L1,SPECC1,RPS3A,CELF4,PCDH17,RNF157,C7orf50,TMEM100,OLFM1,CDH13,PLEKHB1,RDH11,NASP,TXN,SRSF5,SET,PLAT,EGR1,CACNA1A,NRXN1,KLF3,RAB3A,HSPA9,SAPCD2,SHTN1,CELF2,ACSL3,TUBB2B,PTPRE,C12orf57,SAMD4A,SLC35F1,SPRED1,CERS4,STAT3,CPM,NSG1,EEA1,SYT11,SPATA6,SRSF10,DOCK9,ASTN1,SEMA5A,RPL39,RPS7,SLC44A1,PPP1R9A,EIF4G2,KIF13A,DNAJC3,RPLP0,NKAIN3,ITM2C,COL11A1,CCND1,UBB,NENF,TMEM59L,RPS15,NAV1,CSNK1A1,UBA52,MT2A,ARMCX6,RAB14,RARRES2,CSMD3,PLPPR1,PTN,GRIA3,C1QL1,IGFBPL1,COL20A1,RBM5,PNPLA8,USP24,TANC1,PLLP,DDX17,HMGA1,AMD1,BAMBI,CBX1,RBM3,OPHN1,PTCHD4,ADGRL3,ARL4C,PTPRD,SOX11,NAMPT,SEZ6L2,TMSB10/TMSB4X,NARF,DCLK1,ETV1,PKM,NCAM2,CRNDE,IFNAR1,STARD7,PCF11,JUND,GLTP,ST6GAL1,PID1,RPL29,LAGE3,ACAP3,SGCB,PEG10,CPXM1,PGM1,RSRP1,ADGRB3,OLIG2,APOD,SOX5,NAV2,CORO1C,GAS5,FABP7,TIMP2,VWA1,KANK1,PRRX1,OAT,BRD7,CHL1,ETV5,ARPP21,VCAN,CTSC,RPS27A,TNK2,RBX1,NDRG2,PLS3,HNRNPU,FNDC4,RBMX,CD82,INA,MYADM,SDF4,SNHG8,CDH10,MEX3A,IL1RAP,MIR124-1HG,BMP7,UGDH,NRXN2,HDAC2,SRRM2,RPN2,UCHL1,BRD3,IGFBP2,BCHE,AFAP1L2,CHST11,CLK1,PDZD2,LTBP3,KDM1A,ZCCHC24,HEPACAM,TSC22D1,MDGA2,SH3GLB1,CCDC47,RPS4X,OLA1,LAPTM4A,NACA,PSAT1,SCAF11,ASIC1,CASK,ITGAV,AASS,CLSTN1,CHADL,PCDH9,BASP1,STC1,ELAVL4,DUSP26,TEK,XKR4,ASCL1,SMAD3,ANP32B,ZFP36L1,RGCC,KCNIP1,FOSB,AGAP1,RND3,BRD2,SRSF6,PIK3R3,CALB2,GFRA1,RPL35,RBP1,CPEB4,RPL22,ZEB1,APP,FAM107B,EMC10,TUBB4B,MAGEH1,MAFF,KHDRBS1,STMN2,MAGI1,LNX1,EIF3F,ARL4A,ABHD2,MMP16,KRTCAP2,MYO3A,IER2,AFDN,HNRNPF,FHL1,SCRG1,AP1S2,PIK3R1,C1orf21,TMEM123,XYLT1,SCD5,KLRC2,BCAN,MPC1,NLGN3,PGM3,TRAF4,JMJD1C,JAG1,ETFB,SRSF2,RRBP1,ACAA1,SERPINB6,AKT2,SON,SPARC,CCNH,NPAS3,PLP1,TIMP3,RPL36A,MCAM,VAPA,TIMP1,KCNJ10,TSC22D4,LRRN1,IRF1,DLX5,SATB1,MAP4K5,HSPA13,ADGRA1,SP8,SCGN,MAT2A,FOS,TUBA1A,LUC7L3,EIF3E,FKBP2,LRP1,PCSK7,WDR1,RPL14,HNRNPDL,FERMT2,CLCN3,KCNMA1,MYO10,ZBED1,RPS18,PCDH7,CDKN2C,HSP90B1,ITGB8,KLHDC8A,DPYSL2,TAOK3,MIAT,CSPG5,SPOCK2,FAM110B,CD47,APPL1,HNRNPA1,COL16A1,CLU,BCLAF1,ZFAS1,SSPN,BCL11A,VSTM2B,SRSF3,EPN2,NLGN4X,LGALS1,EPHA3,ASRGL1,GPR155,RBBP7,RHOC,THY1,CRABP1,POLR1D,BCAS1,CLIC1,CXXC4,LRATD1,CMC2,RBM25,RPL5,ID4,ARHGDIA,NTRK3,CDK6,SLC6A1,GRM5,TOX3,ZNF649,SRSF1,PLOD2,MFF,BCL11B,FBXO7,PTMS,PPP2R2A,FARP2,IGF2,PHLDA1,TSPAN3,GSE1,RCOR2,OS9,PRPF4B,SEPTIN9,PFN2,DNM3,PSD3,FGFR1,SEL1L3,DMPK,NRCAM,ATF7IP,ING3,BEX4,TUBB3,ZNF397,SPRY2,EEF1A2,RBFOX2,PRKACB,LRP1B,CRISPLD1,DTNA,ASIC4,CLVS2,CXCL16,ACTN4,CTSD,APMAP,SOX2,MTDH,B3GAT2,RASSF2,CCNI,FGF12,TET1,COX4I1,PDGFRA,RPL11,PCDH19,MLLT11,COL9A1,PLPPR5,PRKX,BLM,AKAP7,RBM39,RPL7,PRNP,RHOB,SOX9,PPP1R15A,CSPG4,PDIA3,DUSP6,SREK1,TCEAL2,DPP10,NEDD4L,MGLL,GRB14,ASAP1,SEMA3E,GPM6A,TMEM87A,SF1,TIMP4,ZC3H6,H2AX,ZFP36L2,KCNQ2,BEX2,SNX1,KRT10,ARF5,RTRAF,GOLM1,RPL31,PAFAH1B3,OLFM2,DLX1,DENND5A,RIN2,ITM2A,DYNC1I2,IRS2,TUBB,NKAIN4,ANXA5,SAT1,RAMP2,DLX6-AS1,SPPL2A,CPE,SYMPK,ANKS1B,DSEL,PDIA6,KIF21A,CCNG1,PNN,CNP,CFAP20,NFIC,RPS19,PSMA7,PRPF38B,RBIS,NUCB1,KCND2,BRINP3,KLC1,RPS11,FERMT1,PHACTR3,VMP1,GRIA4,LRPAP1,OMG,WSCD1,RPL19,SKIL,NTM,SUSD5,LRRC4C,MYT1,TMEM256,PDLIM5,AHI1,H3-3A/H3-3B,NFIA,CLDND1,ADD3,GAL3ST1,GRID2,EIF3H,GALNT10,GPC2,PLEKHH2,EVL,IDH2,AIG1,JUNB,CACNG4,JUN,ST3GAL6,GOLGA8A/GOLGA8B,ABHD14A,RAB33A,CALM1 (includes others),MCL1,STMN4,SERPINE2,CRMP1,GATM,PDE4B,NTNG1,CKB,RPS20,SLC3A2,RPL6,TUBB2A,COX7A2,PCDH10,DSCAM,CNRIP1,CALCRL,LIMA1,BTG3,SLC1A3,FZD3,TRIB2,NTRK2,RPL4,ELMO1,MLF2,LAMA4,NT5E,COBL,MAP4K4,MBP,RACK1,KLF6,ANKRD36C,ROBO1,CHRM3,KAZN,B2M,RALYL,RPS2,CREBRF,TM4SF1,HADHB,P2RX7,WSB1,CHID1,PXDC1,CNTN1,ADGRB1,NNAT,SLITRK2,HES4,NEFM,PDZRN3,FNIP1,LYPD1,RAMP1,HNRNPA2B1,ATP6AP2,TRA2A,KAT2B,PLD3,CHD1,HTRA1,DNER,IGSF21,TAC3,MAP2,TNR,GLUD1,MTSS1,FAU,MAP1B,GDAP1L1,PCDH15,TRIM9,ATP6V0E1,ASXL1,CCNL1,PTPRZ1,RPS6,GUCY1A2,RAB31,CDC42SE1,DBN1,RAP1GAP,ASB3/GPR75-ASB3,S100B,CTTNBP2,ANK3,GPAA1,APBB2,TTC3,CREB5,SCN1A,ANKRD28,NR3C1,MPZL1,TTC9B,GNG12,STK32B,LRRK2,SOX4,P4HB,KDM5B,LINGO1,SLC32A1,AFF4,PHGDH,YWHAQ,AKT3,TJP1,LRRTM3,SELENOK,TMEM132B,ZFYVE16,SNRNP70,NLGN1,DLGAP4,PHF6,GNG3,CARHSP1,COX6B1,XRCC5,GRIA2,TRIO,PDE6D,CDKN1A,ARL6IP1,PSAP,CANX,UGT8,CC2D1A,CCDC112,BSCL2,MIF,PNKD,GPR17,NONO,FSCN1,DEGS1,NPDC1,SCG3,KPNA2,JPT1,RPL21,HIP1R,FDFT1,ATP2B1,EEF1B2,ARX,STMN1,RPS3,FAM89B,CSDE1,CCDC50,CCT8,ATF4,PBX1,EGR3,DLX6,COPA,HSPA5,ATP5MG,SYNE1,SLC2A13,SCN2A,GAD2,EGR2,DAB2,TRA2B,KDM6B,NFE2L2	Functional
ERBB2 Signaling	6.58838029403677	0.27	ADGRL3,AKT2,ATF4,ATP6AP2,BEX2,BMP7,CCND1,CD47,CD82,CDC42SE1,CDK6,CDKN1A,CDKN2C,CHCHD10,CHDH,CLU,CPM,DUSP6,EGR1,ERBB3,ERBB4,ETFB,ETV1,ETV5,FOS,FSCN1,GPAA1,GPM6B,H4C3,HADHB,HES1,HM13,HTRA1,IGF2,IL6ST,JAG1,JUN,JUNB,KDM5B,KIFC3,LAMP1,LGALS1,LTBP3,MAP1B,MCL1,MIF,MMP16,MYO10,NT5E,PBX1,PFN2,PGM1,PHGDH,PLAT,POLR1D,RAB31,RHOB,SMAD3,SOX4,SPARC,ST3GAL6,ST6GAL1,STAT3,TCEAL9,THY1,TIMP3,TJP1,TMED9,TMEM106B,TMEM9B,TSC22D1,TSPAN3,TUBA1A,UGT8,VCAN,ZEB1,ZFP36L2	Upstream
TAL1 Signaling	2.24108810760203	0.269	AFDN,ARPP21,CACNG4,CDK6,CDKN1A,CHST11,IFNAR1,JUN,MAP2,MAP3K1,RAB33A,RPS3A,SOX4,SPRY2,TSPAN7,TTC3,TUBB4B	Upstream
PSEN1 Signaling	10.7931741239682	0.268	APP,ARC,ARF5,ATP2A2,BASP1,BAX,CANX,CCND1,CKB,COX7A2,CTSC,CTSD,DBI,DCX,DPYSL2,EGR1,FDFT1,FOS,GAS5,GPM6B,HES1,HINT1,HSPA5,LRP1,LRP1B,MAP2,MBP,NNAT,PAK3,PDGFRA,PEA15,PIK3R1,PKM,QDPR,RBM3,S100B,SLC1A2,STMN1,STMN2,TUBA1A,TUBB,TUBB2A,TUBB2B,TUBB3,TUBB4B,TXN,UCHL1	Upstream
BMP7 Signaling	3.62160209905186	0.268	BMP7,CAMK2N1,CDKN1A,DLX5,ELAVL4,ERBB3,FGF12,GRB14,IGF2,INA,ITGAV,JAG1,KCND2,KLC1,MYADM,OLFM1,PIK3R1,SOX10,TIMP1,TIMP2,VCAN	Upstream
KAT5 Signaling	7.44129142946683	0.264	ARC,BAX,CALR,CCND1,CD82,CDKN1A,CDKN2C,EMP2,GRIA4,HERPUD1,HSP90B1,HSPA5,MEX3A,NKAIN3,NT5E,PCDH10,PCDH15,PCDH17,PCDH19,PCDH7,PCDH9,PPP1R15A,PSMA7,PTPRZ1,SCN2A,SRSF2	Upstream
Connective tissue cancer	5.54363396687096	0.262	JUN,LINGO1,DLX5,FGFR1,CCN1,ERBB4,HINT1,ATF7IP,TUBB3,CHD1,CRMP1,SMARCA4,IFNAR1,TEK,FOS,TUBB2A,TUBA1A,SMAD3,TRIO,NTRK2,ASXL1,NT5E,PTPRZ1,PLOD2,BCL11B,PDGFRA,DIO3,HSP90B1,H3-3A/H3-3B,FDFT1,TUBB4B,SPARC,IGF2,CD47,SOX11,NR3C1,UBB,MCAM,ZFAS1,BAX,TIMP1,IDH2,MGLL,NFE2L2	Functional
Cell proliferation of ovarian cancer cell lines	7.08724669632868	0.253	CCN1,ERBB4,ITGAV,LGALS1,STC1,STAT3,MEX3A,CDKN1A,TRAF4,HDAC2,RPL39,PDGFRA,KLF6,SERTAD1,APP,FBXO7,PLAT,SPOCK2,SPARC,IGF2,DLX6-AS1,FOXG1,PRNP,CLU,CCND1,HSPA5,OPCML,ERBB3,DAB2,HNRNPA2B1,TRA2B,TMSB10/TMSB4X	Functional
allopurinol Signaling	1.87942606879415	0.251	ATP6AP2,CLU,GAS5,PRTFDC1,RBM3,TIMP1,TMSB10/TMSB4X,TUBB,TXNIP	Upstream
Stress response of tumor cell lines	7.84771165561694	0.251	HSP90B1,RTN1,APP,ATP2A2,SIRT2,TMBIM6,CALR,HSPA9,PRNP,ATF4,HNRNPA1,NNAT,HSPA5,CDKN1A,VCP	Functional
diethylnitrosamine Signaling	4.20342566678957	0.25	CCND1,CDKN1A,CREB5,DCLK1,H2AX,IGFBP2,IL1RAP,JUN,MCL1,NFE2L2,OAT,PHLDA1,PRKACB,STAT3,TEK,THY1,TIMP1,TIMP2	Upstream
TP73 Signaling	5.30627305107635	0.249	ADGRB1,AHI1,B2M,BAX,BCL11B,BMP7,CCN1,CCNG1,CD82,CDH10,CDK6,CDKN1A,CDKN1C,CNN3,COX4I1,CTSD,EGR1,ELOB,HES1,IDH2,JAG1,KIFC3,KRT10,LAPTM4A,LIMA1,MAP4K4,PIK3R3,RBX1,SAT1,SCRG1,SERPINB6,SERPINE2,STMN1,TCEAL1,THY1,TIMP1,TIMP3,TIMP4,TP53I11,TSPYL1,VMP1	Upstream
Apoptosis of cancer cells	8.09691001300806	0.249	JUN,IRF1,ITGAV,MCL1,LGALS1,CHD1,SPRY2,SMARCA4,NFIC,PTN,BEX2,STAT3,CDKN1A,CDK6,MIF,RND3,HDAC2,TXN,B2M,AKT2,MAGEH1,SPARC,IL6ST,PHLDA1,SOX11,TSC22D1,CLU,MAP3K1,CCND1,BAX,CD24,HES1,EIF3F,SOX4,NFE2L2	Functional
Apoptosis of hippocampal neurons	5.59687947882418	0.248	PRNP,KLF6,KCND2,NTRK3,APP,BAX,PLAT,NTRK2,RPS3	Functional
TET2 Signaling	2.91721462968355	0.243	AGAP1,CDKN2C,CHST11,FOSB,FOXG1,H2AX,IL6ST,JUN,MAFF,MTSS1,NAV1,PLS3,PXDC1,RND3,SOX2,TEAD2,TIMP1,TRIB2,XYLT1,YWHAQ	Upstream
Inflammation of pancreas	6.59345981956604	0.243	JUN,SAR1B,PKM,PDE4B,STAT3,SMAD3,CTSD,NT5E,MIF,IRS2,UCHL1,TXN,CHRM3,SAT1,B2M,CD70,CALR,ATF4,SCN1A,CLU,NR3C1,HSPA5,GAD2,COTL1,KDM6B,JUNB,P4HB	Functional
Intra-Golgi and retrograde Golgi-to-ER traffic	2.42	0.242535625036333	ARF5,ARFGAP2,COPA,DYNC1I2,KDELR2,KIF21A,KLC1,NAA38,PAFAH1B3,RAB6A,TMED10,TMED9,TUBA1A,TUBB2A,TUBB2B,TUBB3,TUBB4B	Canonical
NOTCH1 Signaling	3.69250396208679	0.241	ASCL1,CCN1,CCND1,CD82,CDKN1A,CDKN1C,ERBB3,FABP7,FOS,FOSB,GLUD1,HES1,IGFBP2,IRF1,JAG1,MCAM,OAT,PDIA3,PKM,RND3,SOX10,SOX2,SPRY2,TEK,TRIB2	Upstream
lithium chloride Signaling	3.04383156952464	0.241	APP,BAX,BMP7,CCND1,CDKN1A,FOS,FSCN1,HES1,JUN,MT2A,NNAT,SOX2,SOX9,VCAN	Upstream
triamterene Signaling	1.8569851997459	0.239	CLU,GAS5,PRTFDC1,RBM3,TIMP1,TMSB10/TMSB4X,TUBB	Upstream
